 10991640670750 142      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640670750 142      Cache               Final BUSY_BLKD>RSC    [0xbcf0b140, line 0xbcf0b140] 
 10991640672250 135      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640672250 135      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640672500 135      Cache      CompData_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640672500 135      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640672500 135      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640672500 135      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640672750 135      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640673750   6      CacheSnpResp_SC_Fwded_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640673750 138      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640673750 138      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640675000   6      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640675000   6      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640675000   6      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640675000   6      Cache               Final BUSY_BLKD>RUSD   [0xbcf0b140, line 0xbcf0b140] 
 10991640675000 135      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640675000 135      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640675000 135      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640675000 135      Cache               Final BUSY_INTR>RSD    [0xbcf0b140, line 0xbcf0b140] 
 10991640675000 135      Cache          ReadShared    RSD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640675000 135      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640675250 135      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640675250 135      Cache       SendSnpShared BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640677000 138      Cache      CompData_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640677000 138      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640677000 138      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640677000 138      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640677250 138      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640677750 136      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640677750 136      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640678750  20        Seq                Done       >       [0xbcf0b168, line 0xbcf0b140] 104 cycles
 10991640678750 136      Cache      CompData_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
