 10475603685250 100      Cache          AllocSnoop     RU>RU     [0xbcf8fac0, line 0xbcf8fac0] 
 10475603685250 100      Cache        SnpSharedFwd     RU>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603685250 100      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603685500 100      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603685500 100      Cache       SendSnpShared BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603686750 106      Cache          AllocSnoop     UC>UC     [0xbcf8fac0, line 0xbcf8fac0] 
 10475603686750 106      Cache           SnpShared     UC>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603686750 106      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603687000 106      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603687000 106      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603687250 106      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603687250 106      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603687500 106      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603687500 106      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603687500 106      Cache               Final BUSY_BLKD>SC     [0xbcf8fac0, line 0xbcf8fac0] 
 10475603693250 100      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603694250 100      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
