 32170988203500 495      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988203500 495      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204500 495      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204500 495      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204500 495      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204500 495      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204750 492      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204750 492      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204750 492      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204750 492      Cache               Final BUSY_BLKD>RSC    [0xfbe6b240, line 0xfbe6b240] 
 32170988204750 495      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988205250 493      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988205250 493      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 122        Seq                Done       >       [0xfbe6b268, line 0xfbe6b240] 65 cycles
 32170988206250 493      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 493      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 493      Cache      CheckCacheFill BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 493      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 493      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 493      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 493      Cache               Final BUSY_INTR>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988210500 495      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988210500 495      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988210500 495      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988210500 495      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988210500 495      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988210500 495      Cache               Final BUSY_INTR>SC_RSC [0xfbe6b240, line 0xfbe6b240] 
 32170988212000 122        Seq               Begin       >       [0xfbe6b268, line 0xfbe6b240] LD
 32170988212250 493      Cache     AllocSeqRequest     SC>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988212250 493      Cache                Load     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988212250 493      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988212250 493      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988212500 122        Seq                Done       >       [0xfbe6b268, line 0xfbe6b240] 2 cycles
 32170988212500 493      Cache             LoadHit BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988212500 493      Cache               Final BUSY_BLKD>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988213250 122        Seq               Begin       >       [0xfbe6b270, line 0xfbe6b240] LD
 32170988213500 493      Cache     AllocSeqRequest     SC>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988213500 493      Cache                Load     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988213500 493      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988213500 493      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988213750 122        Seq                Done       >       [0xfbe6b270, line 0xfbe6b240] 2 cycles
 32170988213750 493      Cache             LoadHit BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988213750 493      Cache               Final BUSY_BLKD>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988214000 122        Seq               Begin       >       [0xfbe6b270, line 0xfbe6b240] LD
 32170988214250 493      Cache     AllocSeqRequest     SC>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988214250 493      Cache                Load     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988214250 493      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988214250 493      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988214500 122        Seq                Done       >       [0xfbe6b270, line 0xfbe6b240] 2 cycles
 32170988214500 493      Cache             LoadHit BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988214500 493      Cache               Final BUSY_BLKD>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988716250  12        Seq               Begin       >       [0xfbe6b268, line 0xfbe6b240] LD
 32170988716500 108      Cache     AllocSeqRequest      I>I      [0xfbe6b240, line 0xfbe6b240] 
 32170988716500 108      Cache                Load      I>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988716500 108      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988716500 108      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988717250 110      Cache        AllocRequest      I>I      [0xfbe6b240, line 0xfbe6b240] 
 32170988717250 110      Cache          ReadShared      I>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988717250 110      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988717500 110      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988717500 110      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988718750 107      Cache        AllocRequest      I>I      [0xfbe6b240, line 0xfbe6b240] 
