 10400106690750 289      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106690750 289      CacheSendSnpSharedFwdCompData BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106690750 289      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106691000 289      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106691000 289      Cache    SendSnpFwdedResp BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106691000 289      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106691000 289      Cache               Final BUSY_BLKD>RSC    [0xbd92f240, line 0xbd92f240] 
 10400106693500 366      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106693500 366      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106694500 366      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106694500 366      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106694500 366      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106694500 366      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106694750 366      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106696750 372      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106696750 372      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106697000  10      Cache SnpResp_SC_Fwded_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106697750 372      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106697750 372      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106697750 372      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106697750 372      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106698000 366      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106698000 366      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106698000 366      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106698000 366      Cache               Final BUSY_INTR>RSC    [0xbd92f240, line 0xbd92f240] 
 10400106698000 372      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106698250  10      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106698250  10      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106698250  10      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106698250  10      Cache               Final BUSY_BLKD>RUSC   [0xbd92f240, line 0xbd92f240] 
 10400106698500 370      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106698500 370      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106699500  87        Seq                Done       >       [0xbd92f268, line 0xbd92f240] 170 cycles
 10400106699500 370      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106699500 370      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106699500 370      Cache      CheckCacheFill BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106699500 370      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106699500 370      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106699500 370      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106699500 370      Cache               Final BUSY_INTR>SC     [0xbd92f240, line 0xbd92f240] 
 10400106701500 372      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106701500 372      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106701500 372      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106701500 372      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106701500 372      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106701500 372      Cache               Final BUSY_INTR>SC_RSC [0xbd92f240, line 0xbd92f240] 
 10400106970250 114        Seq               Begin       >       [0xbd92f268, line 0xbd92f240] LD
 10400106970500 465      Cache     AllocSeqRequest      I>I      [0xbd92f240, line 0xbd92f240] 
 10400106970500 465      Cache                Load      I>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106970500 465      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106970500 465      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106971250 467      Cache        AllocRequest      I>I      [0xbd92f240, line 0xbd92f240] 
 10400106971250 467      Cache          ReadShared      I>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106971250 467      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106971500 467      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106971500 467      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106973000 464      Cache        AllocRequest    RSC>RSC    [0xbd92f240, line 0xbd92f240] 
 10400106973000 464      Cache          ReadShared    RSC>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106973000 464      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106973250 464      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106973250 464      Cache         SendSnpOnce BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106978000 470      Cache          AllocSnoop     SC>SC     [0xbd92f240, line 0xbd92f240] 
 10400106978000 470      Cache             SnpOnce     SC>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106978000 470      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106978250 470      Cache         SnpOncePipe BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106978250 470      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106978500 470      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106978500 470      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106978750 470      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106978750 470      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106978750 470      Cache               Final BUSY_BLKD>SC     [0xbd92f240, line 0xbd92f240] 
 10400106983750 464      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106986000 464      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106986000 464      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106986000 464      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106986000 464      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106986250 464      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106987250 467      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106987250 467      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106988250 467      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106988250 467      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106988250 467      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106988250 467      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106988500 464      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106988500 464      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
