Instantiated DTM.
Cyc=         35 Op1=[0x00000000] Op2=[0x00000000] W[_, 0= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000000] PC= 0x800000f8  X mret
Cyc=         36 Op1=[0x00002000] Op2=[0x800000fc] W[W, 1= 0x800020fc]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x800000fc    auipc   ra, 0x2
Cyc=         37 Op1=[0x800020fc] Op2=[0xffffff04] W[W, 1= 0x80002000]   Mem[0: R:0xefefefef W:0x00000000] PC= 0x80000100    addi    ra, ra, -252
Cyc=         38 Op1=[0x00000000] Op2=[0xffffffaa] W[W, 2= 0xffffffaa]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000104    li      sp, -86
Cyc=         39 Op1=[0x80002000] Op2=[0x00000000] W[_, 0= 0x80002000]   Mem[0: R:0xffffffef W:0xffffffaa] PC= 0x80000108    sb      sp, 0(ra)
Cyc=         40 Op1=[0x80002000] Op2=[0x00000000] W[W,30= 0xffffffaa]   Mem[1: R:0xffffffaa W:0x00000000] PC= 0x8000010c    lb      t5, 0(ra)
Cyc=         41 Op1=[0x00000000] Op2=[0xffffffaa] W[W,29= 0xffffffaa]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000110    li      t4, -86
Cyc=         42 Op1=[0x00000000] Op2=[0x00000002] W[W, 3= 0x00000002]   Mem[0: R:0x2f7304c0 W:0xffffffaa] PC= 0x80000114    li      gp, 2
Cyc=         43 Op1=[0xffffffaa] Op2=[0xffffffaa] W[_,24= 0x00000000]   Mem[0: R:0x04c0006f W:0xffffffaa] PC= 0x80000118    bne     t5, t4, pc + 984
Cyc=         44 Op1=[0x00002000] Op2=[0x8000011c] W[W, 1= 0x8000211c]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x8000011c    auipc   ra, 0x2
Cyc=         45 Op1=[0x8000211c] Op2=[0xfffffee4] W[W, 1= 0x80002000]   Mem[0: R:0xefefefaa W:0x00000000] PC= 0x80000120    addi    ra, ra, -284
Cyc=         46 Op1=[0x00000000] Op2=[0x00000000] W[W, 2= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000000] PC= 0x80000124    li      sp, 0
Cyc=         47 Op1=[0x80002000] Op2=[0x00000001] W[_, 1= 0x80002001]   Mem[0: R:0xffffffef W:0x00000000] PC= 0x80000128    sb      sp, 1(ra)
Cyc=         48 Op1=[0x80002000] Op2=[0x00000001] W[W,30= 0x00000000]   Mem[1: R:0x00000000 W:0x80002000] PC= 0x8000012c    lb      t5, 1(ra)
Cyc=         49 Op1=[0x00000000] Op2=[0x00000000] W[W,29= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000000] PC= 0x80000130    li      t4, 0
Cyc=         50 Op1=[0x00000000] Op2=[0x00000003] W[W, 3= 0x00000003]   Mem[0: R:0x202f7304 W:0x00000002] PC= 0x80000134    li      gp, 3
Cyc=         51 Op1=[0x00000000] Op2=[0x00000000] W[_,24= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000000] PC= 0x80000138    bne     t5, t4, pc + 952
Cyc=         52 Op1=[0x00002000] Op2=[0x8000013c] W[W, 1= 0x8000213c]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x8000013c    auipc   ra, 0x2
Cyc=         53 Op1=[0x8000213c] Op2=[0xfffffec4] W[W, 1= 0x80002000]   Mem[0: R:0xefef00aa W:0x00000000] PC= 0x80000140    addi    ra, ra, -316
Cyc=         54 Op1=[0xfffff000] Op2=[0x00000000] W[W, 2= 0xfffff000]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000144    lui     sp, 0xfffff
Cyc=         55 Op1=[0xfffff000] Op2=[0xffffffa0] W[W, 2= 0xffffefa0]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000148    addi    sp, sp, -96
Cyc=         56 Op1=[0x80002000] Op2=[0x00000002] W[_, 2= 0x80002002]   Mem[0: R:0xffffffef W:0xffffefa0] PC= 0x8000014c    sb      sp, 2(ra)
Cyc=         57 Op1=[0x80002000] Op2=[0x00000002] W[W,30= 0xffffefa0]   Mem[1: R:0xffffefa0 W:0xffffefa0] PC= 0x80000150    lh      t5, 2(ra)
Cyc=         58 Op1=[0xfffff000] Op2=[0x00000000] W[W,29= 0xfffff000]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000154    lui     t4, 0xfffff
Cyc=         59 Op1=[0xfffff000] Op2=[0xffffffa0] W[W,29= 0xffffefa0]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000158    addi    t4, t4, -96
Cyc=         60 Op1=[0x00000000] Op2=[0x00000004] W[W, 3= 0x00000004]   Mem[0: R:0x34202f73 W:0x00000000] PC= 0x8000015c    li      gp, 4
Cyc=         61 Op1=[0xffffefa0] Op2=[0xffffefa0] W[_,16= 0x00000000]   Mem[0: R:0x04c0006f W:0xffffefa0] PC= 0x80000160    bne     t5, t4, pc + 912
Cyc=         62 Op1=[0x00002000] Op2=[0x80000164] W[W, 1= 0x80002164]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000164    auipc   ra, 0x2
Cyc=         63 Op1=[0x80002164] Op2=[0xfffffe9c] W[W, 1= 0x80002000]   Mem[0: R:0xefa000aa W:0x00000000] PC= 0x80000168    addi    ra, ra, -356
