,app,hostSeconds,readReqs,writeReqs,servicedByWrQ,mergedWrBursts,numTotHits,numTotMisses,numColdMisses,numHotMisses,numRdMissClean,numRdMissDirty,numRdHit,numWrMissClean,numWrMissDirty,numWrHit,numRdHitDirty,numRdHitClean,numWrHitDirty,numWrHitClean,system.loc_mem_ctrl.dram.readBursts,system.loc_mem_ctrl.dram.writeBursts,system.far_mem_ctrl.dram.readBursts,system.far_mem_ctrl.dram.writeBursts,system.mem_ctrl.numColdMisses
0,bt_C_x,94407.17,16862729,8033147,10098,0,9654632,15241244,0,15241244,8046445,6149444,2666840,848229,197126,6987792,2529746,137094,2217158,4770634,24839832,22228949,14191387,6346571,0
1,cg_C_x,37122.60,108890972,947417,2117,0,1103494,108734895,0,108734895,107657008,925126,308838,152388,373,794656,100479,208359,23550,771106,109835056,109529558,108581483,925495,0
2,ep_C_x,99175.94,2496792,2095042,5087,0,4565858,25976,1460,24516,3629,7661,2485502,6840,7846,2080356,2353931,131571,2070062,10294,4565144,2106310,9517,14841,1460
3,is_C_x,14322.07,16421854,8882028,1250,0,9904109,15399773,269,15399504,5777319,6754669,3889866,1416990,1450795,6014243,3731148,158718,880851,5133392,25261496,21413713,12529102,8205447,269
4,lu_C_x,41912.58,124319276,59134936,15314,0,145318911,38135301,0,38135301,19915174,16069360,88334742,1767026,383741,56984169,83291394,5043348,42383509,14600660,183408940,95119431,35976361,16453089,0
5,sp_C_x,20925.59,75806448,24026203,8339,0,42759999,57072652,1048576,56024076,35965604,18738015,21102829,2208257,160776,21657170,4704394,16398435,4210055,17447115,99810914,78729752,54702904,18898765,1048576
